country,code,happiness,health,life
Japan,JPN,5.921,470671702170.21,83.59
Spain,ESP,6.361,123641473955.37,83.08
Switzerland,CHE,7.509,78653628917.65,82.85
Italy,ITA,5.977,198012767760.36,82.69
Singapore,SGP,6.739,15155889199.48,82.65
France,FRA,6.478,326475055711.23,82.37
Australia,AUS,7.313,140035276773.77,82.25
Luxembourg,LUX,6.871,4467498922.55,82.21
Israel,ISR,7.267,23754802423.89,82.15
Iceland,ISL,7.501,1509256185.74,82.06
Canada,CAN,7.404,186565437636.54,81.96
Sweden,SWE,7.291,65653630246.75,81.96
Norway,NOR,7.498,48649030452.37,81.75
Malta,MLT,6.488,1050004366.72,81.75
Chile,CHL,6.705,20092303066.94,81.5
New Zealand,NZL,7.334,21950930238.70,81.4
Austria,AUT,7.119,47467681481.78,81.34
Netherlands,NLD,7.339,95821968603.20,81.3
Greece,GRC,5.033,19044428088.13,81.29
Ireland,IRL,6.907,19521306419.70,81.15
Finland,FIN,7.413,25141595275.48,81.13
United Kingdom,GBR,6.725,253040633561.73,81.06
Germany,DEU,6.994,437000727885.67,80.84
Portugal,PRT,5.123,21863575254.72,80.72
Belgium,BEL,6.929,54716194326.30,80.59
Denmark,DNK,7.526,36368669587.73,80.55
Slovenia,SVN,5.768,4453298949.93,80.52
Cyprus,CYP,5.546,1560798950.59,80.13
Costa Rica,CRI,7.087,4614887487.36,79.4
Puerto Rico,PRI,7.039,,79.37
Lebanon,LBN,5.129,3191682233.19,79.37
United States,USA,7.104,2985748000000.00,78.94
Qatar,QAT,6.375,4575141065.35,78.6
Czech Republic,CZE,6.596,14491014880.54,78.28
Albania,ALB,4.655,786582208.26,77.83
Panama,PAN,6.701,3708895545.03,77.6
United Arab Emirates,ARE,6.573,14635943432.88,77.37
Croatia,HRV,5.488,4459719822.85,77.33
Poland,POL,5.835,34606258475.17,77.25
Estonia,EST,5.517,1641487715.76,77.24
Uruguay,URY,6.545,4931887400.53,76.99
Mexico,MEX,6.778,80570710235.94,76.72
Bahrain,BHR,6.218,1692666770.28,76.68
Bosnia and Herzegovina,BIH,5.163,1769970461.12,76.43
Montenegro,MNE,5.161,286174223.37,76.18
Argentina,ARG,6.65,26010989304.55,76.16
Hungary,HUN,5.145,10238733852.18,75.87
Ecuador,ECU,5.976,9210848792.98,75.87
China,CHN,5.245,574799040937.05,75.78
Jamaica,JAM,5.51,740887217.20,75.65
Vietnam,VNM,5.061,13158670070.09,75.63
Serbia,SRB,5.177,4513885156.65,75.53
Bulgaria,BGR,4.217,4795078090.40,75.41
Turkey,TUR,5.389,43293665263.13,75.16
Romania,ROM,5.528,11106682781.27,75.06
Nicaragua,NIC,5.992,1067246412.63,74.81
Algeria,DZA,6.355,14083684489.77,74.81
Sri Lanka,LKA,4.415,2625452092.80,74.79
Malaysia,MYS,6.005,13630093495.14,74.72
Armenia,ARM,4.36,485651350.16,74.68
Georgia,GEO,4.252,1220925167.21,74.67
Kuwait,KWT,6.239,5200988514.22,74.59
Peru,PER,5.743,11106256768.38,74.53
Thailand,THA,6.474,24407291703.73,74.42
Brazil,BRA,6.952,195243908092.83,74.4
Saudi Arabia,SAU,6.379,35440629434.37,74.34
Mauritius,MUS,5.648,612025442.52,74.19
Latvia,LVA,5.56,1842328237.42,74.19
Tunisia,TUN,5.045,3398097443.55,74.14
Jordan,JOR,5.303,2661724678.39,74.05
Morocco,MAR,5.151,6446859284.90,74.02
Colombia,COL,6.481,27202157898.04,73.99
Lithuania,LTU,5.813,3129648541.00,73.97
Dominican Republic,DOM,5.155,2799139533.17,73.5
Honduras,HND,4.871,1690385290.16,73.14
Belarus,BLR,5.802,4277222570.04,72.98
Paraguay,PRY,5.538,3040973564.70,72.92
El Salvador,SLV,6.068,1708000000.00,72.75
Guatemala,GTM,6.324,3725607930.68,71.72
Libya,LBY,5.615,2326601238.96,71.72
Bangladesh,BGD,4.643,4904911710.01,71.63
Kazakhstan,KAZ,5.919,9359530205.77,71.62
Moldova,MDA,5.897,814152697.74,71.46
Ukraine,UKR,4.324,9120142129.68,71.19
Suriname,SUR,6.269,316827727.47,71.15
Kosovo,KSV,5.401,,71.1
Azerbaijan,AZE,5.291,4539616446.68,70.76
Trinidad and Tobago,TTO,6.168,1539106521.64,70.44
Belize,BLZ,5.956,97977979.39,70.08
Nepal,NPL,4.793,1123274954.83,69.6
Tajikistan,TJK,4.996,633730014.09,69.6
Bhutan,BTN,5.196,67927047.22,69.47
Mongolia,MNG,4.907,568395225.07,69.46
Iraq,IRQ,4.575,10299956011.66,69.4
Indonesia,IDN,5.314,25295440858.49,68.89
